"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"MAP9",281.848115114005,-1.35225691922685,0.112811723222315,1.49326748969848e-34,4.510202321794e-33
"ERCC4",308.011604816119,-1.19851794943316,0.11298225094321,1.91001611224583e-27,3.05897123741767e-26
"ZBED6",199.044100292041,-4.43503694713625,0.195555420282957,1.29456927496421e-114,3.49559595625836e-111
"AP1AR",321.375782074189,-1.02659741219095,0.113666807028652,2.24430115817728e-20,1.84645398760216e-19
"SCAI",317.024674471046,-1.12033572906678,0.1015564434846,2.59197133934684e-29,4.84684280505841e-28
"NAA38",916.939744619002,1.01889647732795,0.0962447844348653,4.8135345044378e-27,7.40176871804268e-26
"BCL7C",1004.07864672986,1.11054589363318,0.0960363837357608,6.33937712943085e-32,1.50948731260046e-30
"EEIG2",359.069722372927,-1.10919925750604,0.10544385899313,7.02306094539235e-27,1.06897796870059e-25
"HAVCR1",252.776567171011,-1.88071356116852,0.138632013688647,1.61623399197995e-46,1.42619445266152e-44
"FKBP14",359.901614271281,-1.02514016686316,0.100464706206633,2.58927895850395e-25,3.37105643382467e-24
"TSTD2",315.245340976972,-1.12666421013771,0.10980880458227,9.8771776538883e-26,1.34156715799946e-24
"ZBTB43",329.206789601445,-1.07418049837344,0.104353651523653,8.55259545128362e-26,1.16634940593717e-24
"ZBTB41",317.205431356076,-1.21022711730078,0.134161999571284,1.18248767219374e-20,1.0053379132423e-19
"MCRIP1",998.31695173882,1.06925296229261,0.0777648368580182,6.12298489900758e-44,4.30554266257819e-42
"MIGA1",329.696755343069,-1.21483217500303,0.109980180137195,1.51063144645459e-29,2.8888151782696e-28
